epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9214,1.44684,1.40006,1.44188,0.50568,0.38244,0.39927,0.21916,1.99748,4.68269,2.14943,0.0684799,0.00165895,0.00165895
2,155.345,1.66339,1.73229,1.62378,0.3948,0.28517,0.24905,0.11618,2.1609,3.13569,2.33957,0.0366487,0.003161,0.003161
3,233.708,1.66997,1.70427,1.62869,0.50334,0.43248,0.41036,0.20519,1.94831,2.35217,2.0736,0.00465237,0.00449805,0.00449805
4,310.967,1.56941,1.55127,1.56364,0.62827,0.49669,0.53517,0.28142,1.87495,1.96309,2.11117,0.0042575,0.0042575,0.0042575
5,404.418,1.53453,1.44716,1.51669,0.72099,0.63834,0.69119,0.39446,1.52717,1.59826,1.68262,0.00401,0.00401,0.00401
6,483.259,1.44361,1.31366,1.4577,0.7802,0.71731,0.76334,0.43596,1.51807,1.31175,1.65245,0.0037625,0.0037625,0.0037625
7,560.72,1.41541,1.25453,1.42864,0.80257,0.69477,0.78021,0.45576,1.43551,1.26221,1.59878,0.003515,0.003515,0.003515
8,655.318,1.39183,1.21308,1.41134,0.82252,0.77148,0.83199,0.51772,1.34996,1.06994,1.52168,0.0032675,0.0032675,0.0032675
9,732.451,1.33688,1.12149,1.38687,0.86158,0.80076,0.87057,0.53424,1.32205,1.00126,1.49407,0.00302,0.00302,0.00302
10,809.517,1.30159,1.06818,1.34348,0.85548,0.80642,0.84522,0.55509,1.29438,1.00941,1.46341,0.0027725,0.0027725,0.0027725
11,917.232,1.23318,1.00269,1.33372,0.85559,0.81586,0.8927,0.58198,1.24481,0.95461,1.43358,0.002525,0.002525,0.002525
12,994.993,1.18299,0.87246,1.30602,0.89774,0.86212,0.91612,0.60444,1.22117,0.81806,1.37784,0.0022775,0.0022775,0.0022775
13,1089.75,1.15716,0.83364,1.2748,0.86846,0.84789,0.91133,0.61675,1.18944,0.80809,1.36445,0.00203,0.00203,0.00203
14,1166.7,1.08138,0.75936,1.23588,0.90281,0.86119,0.92766,0.63946,1.11644,0.76938,1.31204,0.0017825,0.0017825,0.0017825
15,1243.68,1.05613,0.71559,1.21711,0.90849,0.88385,0.93915,0.64907,1.1161,0.72342,1.3052,0.001535,0.001535,0.001535
16,1337.39,1.03117,0.67339,1.19388,0.92872,0.91046,0.96521,0.7011,1.00754,0.62722,1.22493,0.0012875,0.0012875,0.0012875
17,1414.5,0.98501,0.66077,1.15873,0.91541,0.91124,0.96595,0.70506,0.99092,0.61913,1.21468,0.00104,0.00104,0.00104
18,1491.63,0.95009,0.61175,1.15018,0.91457,0.93003,0.97053,0.70558,0.97515,0.6087,1.19531,0.0007925,0.0007925,0.0007925
19,1586.12,0.92904,0.59898,1.12469,0.90643,0.93296,0.97135,0.73166,0.92139,0.57115,1.1483,0.000545,0.000545,0.000545
20,1663.31,0.89111,0.5744,1.10283,0.90888,0.92446,0.96839,0.72248,0.92844,0.57114,1.14077,0.0002975,0.0002975,0.0002975
